Mol,DRC,S2,T1(blyp),"T1(blyp, TDA)",T1(bmk),"T1(bmk, TDA)",T1(m11),"T1(m11, TDA)",T1(m062x),"T1(m062x, TDA)",T1(b3lyp),"T1(b3lyp, TDA)",T1(PBE0),"T1(PBE0, TDA)",T1(cam-b3lyp),"T1(cam-b3lyp, TDA)",T1(LC-wPBE),"T1(LC-wPBE, TDA)",T1(LC-BLYP),"T1(LC-BLYP, TDA)",T1(wB97XD),"T1(wB97XD, TDA)",T1(PBE),"T1(PBE, TDA)",T1(MC),CHECK (MC)
BBNBN10,0.0007,0.0756,2.5907,2.6706,2.7224,2.9097,2.5737,2.8268,2.6972,2.8837,2.5351,2.7023,2.501,2.724,2.4482,2.7254,2.2652,2.7246,2.356,2.8004,2.5336,2.7804,2.631,2.7202,2.86967680049986,2.869677
BBNBN11,0.0181,0.3274,2.3174,2.4048,2.3812,2.6104,2.3409,2.6394,2.4061,2.629,2.2171,2.4106,2.1804,2.4423,2.1188,2.4379,1.9168,2.4518,1.9982,2.5147,2.2229,2.4986,2.3714,2.4703,2.53782445680004,2.537824
BBNBN12,0.0772,0.5659,2.0181,2.0963,1.7561,2.0588,1.5713,1.9911,1.6295,1.9989,1.8146,2.0139,1.7511,2.0233,1.4853,1.8977,0.8092,1.7454,0.7522,1.7491,1.6041,1.9648,2.0742,2.1629,2.0570229404999,2.057023
BBNBN13,0.0743,0.5571,2.2042,2.298,2.0469,2.3147,1.8053,2.1755,2.038,2.2867,1.9683,2.1947,1.8577,2.1666,1.6168,2.0587,0.8947,1.8659,0.874,1.8908,1.7654,2.1314,2.2296,2.3329,2.11534567080039,2.115346
BBNBN15,0.0954,0.6068,1.99,2.0994,1.8327,2.1376,1.3582,1.9013,1.7719,2.0698,1.7124,1.9788,1.5769,1.9448,1.3133,1.8425,-0.2823,1.6418,-0.2597,1.676,1.4832,1.9141,2.0104,2.1306,1.9197272667002,1.92
BBNBN16,0.2844,0.8357,1.3018,1.4375,0.7291,1.3379,-0.6803,1.1459,0.7357,1.3152,0.8143,1.2639,0.4636,1.2054,-0.7674,1.0654,-1.4919,0.8251,-1.5615,0.8186,-0.4592,1.1397,1.3029,1.4509,1.25929240500063,1.259292
BBNBN17,0.4563,1.2712,0.7668,0.9,-0.2885,0.8745,-0.8914,0.7542,0.1293,0.8881,0.1059,0.7891,-0.504,0.7541,-0.8909,0.6721,-1.3726,0.5428,-1.4166,0.5414,-0.7771,0.7179,0.7671,0.9125,0.798118278000617,0.798118
NBNBN18,0.4492,1.2571,0.7847,0.9149,-0.5167,0.7866,-0.9891,0.6497,-0.4763,0.7687,-0.1612,0.7764,-0.6,0.7096,-0.9665,0.6248,-1.4838,0.4372,-1.5113,0.4612,-0.867,0.6612,0.7583,0.9065,0.710229433799356,0.710229
AzBNBN19,0.1269,0.7531,0.4884,0.6627,0.7085,1.0594,0.4496,1.1119,0.8241,1.1271,0.3799,0.7945,-0.228,0.8116,0.1482,0.962,-0.7181,1.0974,-0.4151,1.2276,0.357,0.9629,0.4596,0.6685,0.956060083500439,0.95606
BNONO20,0.3855,0.9346,0.552,0.7336,-0.6696,0.7056,-0.9035,0.6967,-0.5839,0.7619,-0.4951,0.6476,-0.7031,0.6266,-1.0026,0.5239,-1.4202,0.3745,-1.4921,0.3697,-0.8728,0.5967,0.5605,0.7522,0.668377188600341,0.668377
BBN2,0,0.2071,3.9453,3.9887,4.202,4.3001,4.1896,4.3042,4.0066,4.1434,4.0524,4.13,4.0491,4.1539,4.0446,4.1903,3.7946,4.1536,3.902,4.2624,4.1162,4.2253,3.9648,4.0188,3.97340120039987,3.973401
BBN3,0.0036,0.4858,3.2502,3.3383,3.4168,3.6086,3.2862,3.5474,3.5175,3.6533,3.2153,3.4008,3.1483,3.4009,3.1376,3.4376,2.8906,3.404,2.9953,3.4962,3.2525,3.5007,3.2737,3.3696,3.39513536880062,3.395135
